,MovieTitle,MovieDate,MovieRunTime,MovieGenre,MovieRating,MovieScore,MovieDescription,MovieDirector,MovieStars,MovieVotes,MovieGross
0,The Last of Us,2023– ,50,"['Action', ' Adventure', ' Drama']",9.1,,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",,"['Stars:Pedro Pascal', 'Bella Ramsey', 'Anna Torv', 'Gabriel Luna']","252,192",
1,The Mandalorian,2019– ,40,"['Action', ' Adventure', ' Fantasy']",8.7,,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",,"['Stars:Pedro Pascal', 'Carl Weathers', 'Chris Bartlett', 'Gina Carano']","505,754",
2,Cocaine Bear,2023,95,"['Comedy', ' Thriller']",6.4,54,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.",Elizabeth Banks,"['Keri Russell', 'Alden Ehrenreich', ""O'Shea Jackson Jr."", 'Ray Liotta']","14,917",
3,Outer Banks,2020– ,50,"['Action', ' Crime', ' Drama']",7.6,,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",,"['Stars:Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'J.D.']","60,127",
4,1923,2022–2023,60,"['Drama', ' Western']",8.5,,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression.",,"['Stars:Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']","23,009",
5,We Have a Ghost,2023,126,"['Adventure', ' Comedy', ' Family']",6.1,53,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA.",Christopher Landon,"[""Jahi Di'Allo Winston"", 'David Harbour', 'Anthony Mackie', 'Erica Ash']","14,323",
6,Ant-Man and the Wasp: Quantumania,2023,124,"['Action', ' Adventure', ' Comedy']",6.5,48,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas', 'Michelle Pfeiffer']","79,498",
7,The Whale,2022,117,['Drama'],7.8,60,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",Darren Aronofsky,"['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau']","71,243",
8,Creed III,2023,116,"['Drama', ' Sport']",7.4,,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",Michael B. Jordan,"['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris']","11,175",
9,Everything Everywhere All at Once,2022,139,"['Action', ' Adventure', ' Comedy']",8.0,,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Directors:Daniel Kwan, Daniel Scheinert","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Ke Huy Quan']","348,460",$72.86M
