Movie_id,Name,Year,Time,Genre,Rating,Score,Description,Directors_cast,Stars,Votes,Total
1,The Last of Us,2023– ,50.0,Action  Adventure  Drama,9.1,,After a global pandemic destroys civilization a hardened survivor takes charge of a 14-year-old girl who may be humanitys last hope.,,"Pedro Pascal, Bella Ramsey, Anna Torv, Gabriel Luna","242,743",
2,Ant-Man and the Wasp: Quantumania,2023,124.0,Action  Adventure  Comedy,6.5,48.0,Scott Lang and Hope Van Dyne along with Hank Pym and Janet Van Dyne explore the Quantum Realm where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer","75,124",
3,Cocaine Bear,2023,95.0,Comedy  Thriller,6.4,54.0,An oddball group of cops criminals tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.,Elizabeth Banks,"Keri Russell, Alden Ehrenreich, OShea Jackson Jr., Ray Liotta","12,369",
4,You,2018– ,45.0,Crime  Drama  Romance,7.7,,A dangerously charming intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.,,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail","260,722",
5,Outer Banks,2020– ,50.0,Action  Crime  Drama,7.6,,On an island of haves and have-nots teen John B enlists his three best friends to hunt for a legendary treasure linked to his fathers disappearance.,,"Chase Stokes, Madelyn Cline, Madison Bailey, J.D.","59,143",
6,1923,2022–2023,60.0,Drama  Western,8.5,,The Duttons face a new set of challenges in the early 20th century including the rise of Western expansion Prohibition and the Great Depression.,,"Harrison Ford, Helen Mirren, Brandon Sklenar, Julia Schlaepfer","21,727",
7,Poker Face,2023– ,58.0,Crime  Drama  Mystery,8.0,,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she cant help but investigate and solve.,,"Natasha Lyonne, Benjamin Bratt, Simon Helberg, Pedro Hollywood","16,027",
8,Yellowstone,2018–2023,60.0,Drama  Western,8.7,,A ranching family in Montana faces off against others encroaching on their land.,,"Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley","164,781",
9,The Whale,2022,117.0,Drama,7.8,60.0,A reclusive morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau","63,924",
10,Babylon, 2022,189.0,Comedy  Drama  History,7.3,60.0,A tale of outsized ambition and outrageous excess it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.,Damien Chazelle,"Brad Pitt, Margot Robbie, Jean Smart, Olivia Wilde","83,428",
